!query
declare
    p_code  cwms_state.state_code%type := ?;
    p_id    cwms_state.state_initial%type := ?;
    p_name    cwms_state.name%type := ?;
    p_nation_code cwms_state.nation_code%type := ?;
begin
    MERGE into cwms_20.cwms_state cs
        USING dual
        ON (cs.state_code = p_code)
        WHEN MATCHED then
            update set
                cs.state_initial = p_id,
                cs.name = p_name,
                cs.nation_code = p_nation_code
        WHEN NOT MATCHED then
            insert( state_code, state_initial, name, nation_code)
            values( p_code,
                    p_id,
                    p_name,
                    p_nation_code
                )
;
end;
!endquery
!description
:code \s*(?<current>[0-9]*),(?<remains>.*) int
:id \s*('?)(?<current>.*?)\1,(?<remains>.*) string
:name \s*('?)(?<current>.*?)\1,(?<remains>.*) string
:nation \s*('?)(?<current>NULL|.*?)\1|(?<remains>.*) string
!enddescription
!data
00, '00', 'Unknown State or State N/A', NULL
01, 'AL', 'Alabama', 'US'
02, 'AK', 'Alaska', 'US'
04, 'AZ', 'Arizona', 'US'
05, 'AR', 'Arkansas', 'US'
06, 'CA', 'California', 'US'
08, 'CO', 'Colorado', 'US'
09, 'CT', 'Connecticut', 'US'
10, 'DE', 'Delaware', 'US'
11, 'DC', 'District of Columbia', 'US'
12, 'FL', 'Florida', 'US'
13, 'GA', 'Georgia', 'US'
15, 'HI', 'Hawaii', 'US'
16, 'ID', 'Idaho', 'US'
17, 'IL', 'Illinois', 'US'
18, 'IN', 'Indiana', 'US'
19, 'IA', 'Iowa', 'US'
20, 'KS', 'Kansas', 'US'
21, 'KY', 'Kentucky', 'US'
22, 'LA', 'Louisiana', 'US'
23, 'ME', 'Maine', 'US'
24, 'MD', 'Maryland', 'US'
25, 'MA', 'Massachusetts', 'US'
26, 'MI', 'Michigan', 'US'
27, 'MN', 'Minnesota', 'US'
28, 'MS', 'Mississippi', 'US'
29, 'MO', 'Missouri', 'US'
30, 'MT', 'Montana', 'US'
31, 'NE', 'Nebraska', 'US'
32, 'NV', 'Nevada', 'US'
33, 'NH', 'New Hampshire, 'US'
34, 'NJ', 'New Jersey', 'US'
35, 'NM', 'New Mexico', 'US'
36, 'NY', 'New York', 'US'
37, 'NC', 'North Carolina', 'US'
38, 'ND', 'North Dakota', 'US'
39, 'OH', 'Ohio', 'US'
40, 'OK', 'Oklahoma', 'US'
41, 'OR', 'Oregon', 'US'
42, 'PA', 'Pennsylvania', 'US'
44, 'RI', 'Rhode Island', 'US'
45, 'SC', 'South Carolina', 'US'
46, 'SD', 'South Dakota', 'US'
47, 'TN', 'Tennessee', 'US'
48, 'TX', 'Texas', 'US'
49, 'UT', 'Utah', 'US'
50, 'VT', 'Vermont', 'US'
51, 'VA', 'Virginia', 'US'
53, 'WA', 'Washington', 'US'
54, 'WV', 'West Virginia', 'US'
55, 'WI', 'Wisconsin', 'US'
56, 'WY', 'Wyoming', 'US'
60, 'AS', 'American Samoa', 'US'
66, 'GU', 'Guam', 'US'
68, 'MH', 'Marshall Islands', 'US'
69, 'MP', 'Northern Mariana Islands', 'US'
72, 'PR', 'Puerto Rico', 'US'
78, 'VI', 'Virgin Islands of the U.S.', 'US'
80, 'AB', 'Alberta', 'CA'
81, 'BC', 'British Columbia', 'CA'
82, 'MB', 'Manitoba', 'CA'
83, 'NB', 'New Brunswick', 'CA'
84, 'NF', 'Newfoundland', 'CA'
85, 'NS', 'Nova Scotia', 'CA'
86, 'NT', 'Northwest Territories', 'CA'
87, 'NU', 'Nunavut', 'CA'
88, 'ON', 'Ontario', 'CA'
89, 'PE', 'Prince Edward Island', 'CA'
90, 'QC', 'Quebec', 'CA'
91, 'SK', 'Saskatchewan', 'CA'
92, 'YT', 'Yukon', 'CA'
